region,date,soil_cm
Oum Er-Rbia (Al Massira),2020-06-01,43.568
Oum Er-Rbia (Al Massira),2020-07-01,43.288
Oum Er-Rbia (Al Massira),2020-08-01,43.092
Oum Er-Rbia (Al Massira),2020-09-01,42.917
Oum Er-Rbia (Al Massira),2020-10-01,43.429
Oum Er-Rbia (Al Massira),2020-11-01,44.046
Oum Er-Rbia (Al Massira),2020-12-01,44.877
Oum Er-Rbia (Al Massira),2021-01-01,48.305
Oum Er-Rbia (Al Massira),2021-02-01,48.546
Oum Er-Rbia (Al Massira),2021-03-01,48.991
Oum Er-Rbia (Al Massira),2021-04-01,46.999
Oum Er-Rbia (Al Massira),2021-05-01,45.736
Oum Er-Rbia (Al Massira),2021-06-01,44.441
Oum Er-Rbia (Al Massira),2021-07-01,43.837
Oum Er-Rbia (Al Massira),2021-08-01,43.42
Oum Er-Rbia (Al Massira),2021-09-01,43.212
Oum Er-Rbia (Al Massira),2021-10-01,42.946
Oum Er-Rbia (Al Massira),2021-11-01,43.192
Oum Er-Rbia (Al Massira),2021-12-01,44.0
Oum Er-Rbia (Al Massira),2022-01-01,43.641
Oum Er-Rbia (Al Massira),2022-02-01,43.127
Oum Er-Rbia (Al Massira),2022-03-01,44.802
Oum Er-Rbia (Al Massira),2022-04-01,45.528
Oum Er-Rbia (Al Massira),2022-05-01,43.781
Oum Er-Rbia (Al Massira),2022-06-01,43.13
Oum Er-Rbia (Al Massira),2022-07-01,42.793
Oum Er-Rbia (Al Massira),2022-08-01,42.531
Oum Er-Rbia (Al Massira),2022-09-01,42.365
Oum Er-Rbia (Al Massira),2022-10-01,42.576
Oum Er-Rbia (Al Massira),2022-11-01,42.206
Oum Er-Rbia (Al Massira),2022-12-01,44.347
Oum Er-Rbia (Al Massira),2023-01-01,43.914
Oum Er-Rbia (Al Massira),2023-02-01,44.118
Oum Er-Rbia (Al Massira),2023-03-01,45.201
Oum Er-Rbia (Al Massira),2023-04-01,43.395
Oum Er-Rbia (Al Massira),2023-05-01,43.094
Oum Er-Rbia (Al Massira),2023-06-01,42.845
Oum Er-Rbia (Al Massira),2023-07-01,42.204
Oum Er-Rbia (Al Massira),2023-08-01,41.998
Oum Er-Rbia (Al Massira),2023-09-01,41.792
Oum Er-Rbia (Al Massira),2023-10-01,42.117
Oum Er-Rbia (Al Massira),2023-11-01,42.148
Oum Er-Rbia (Al Massira),2023-12-01,42.106
Oum Er-Rbia (Al Massira),2024-01-01,42.242
Oum Er-Rbia (Al Massira),2024-02-01,43.056
Oum Er-Rbia (Al Massira),2024-03-01,43.147
Oum Er-Rbia (Al Massira),2024-04-01,43.534
Oum Er-Rbia (Al Massira),2024-05-01,42.151
Oum Er-Rbia (Al Massira),2024-06-01,41.753
Oum Er-Rbia (Al Massira),2024-07-01,41.537
Oum Er-Rbia (Al Massira),2024-08-01,41.338
